epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89428,1.3134,0.9036,1.489,1.61838,0.96296,1,0.995,0.82889,0.96296,1,0.995,0.66556,0.72691,2.78932,0.64164,0.89117,0.0673708,0.000329588,0.000329588
2,15.8591,1.14916,0.68012,1.12669,1.51679,0.9894,1,0.995,0.86505,0.9894,1,0.995,0.80772,0.82063,1.27878,0.79126,0.91499,0.0343489,0.000641045,0.000641045
3,23.2148,1.09287,0.63205,1.03442,1.44284,0.9635,1,0.995,0.88099,0.9635,1,0.995,0.84184,0.73464,1.10063,0.76862,0.89163,0.00130503,0.000930502,0.000930502
4,30.1146,1.08358,0.61873,1.03175,1.45629,0.9903,1,0.995,0.89718,0.9903,1,0.995,0.8605,0.6393,1.04617,0.90578,0.85548,0.000901,0.000901,0.000901
5,37.0166,1.01315,0.60504,0.9464,1.37275,0.9859,1,0.995,0.90334,0.9859,1,0.995,0.8629,0.61218,0.99933,0.79405,0.8622,0.000868,0.000868,0.000868
6,44.0658,0.97532,0.6084,0.89016,1.3549,0.98879,1,0.995,0.89007,0.98879,1,0.995,0.82871,0.66463,1.02016,0.58024,0.84847,0.000835,0.000835,0.000835
7,51.0349,1.00411,0.61164,0.89578,1.35513,0.9808,1,0.995,0.88638,0.9808,1,0.995,0.82756,0.6485,0.96442,0.51454,0.86825,0.000802,0.000802,0.000802
8,58.0575,0.95683,0.57935,0.86826,1.32894,0.98553,1,0.995,0.90052,0.98553,1,0.995,0.86244,0.63387,0.93793,0.58087,0.83762,0.000769,0.000769,0.000769
9,65.0135,0.91804,0.56368,0.81839,1.30288,0.98725,1,0.995,0.88639,0.98725,1,0.995,0.85175,0.63455,1.11288,0.53853,0.84311,0.000736,0.000736,0.000736
10,71.9495,0.9281,0.54655,0.83414,1.31343,0.98611,1,0.995,0.91058,0.98611,1,0.995,0.8625,0.66922,0.95497,0.71268,0.83792,0.000703,0.000703,0.000703
11,78.7676,0.9198,0.55848,0.80281,1.29903,0.98511,1,0.995,0.9031,0.98511,1,0.995,0.84395,0.7027,0.9457,0.56085,0.83461,0.00067,0.00067,0.00067
12,85.8157,0.88429,0.53448,0.75711,1.26654,0.98453,1,0.995,0.87871,0.98453,1,0.995,0.86512,0.57298,0.92838,0.55818,0.82012,0.000637,0.000637,0.000637
13,93.1428,0.86645,0.53168,0.74794,1.27124,0.9897,1,0.995,0.91691,0.9897,1,0.995,0.85655,0.54355,0.93776,0.53229,0.82813,0.000604,0.000604,0.000604
14,100.856,0.8404,0.53701,0.71841,1.22989,0.98458,1,0.995,0.90888,0.98458,1,0.995,0.83675,0.59042,0.89276,0.41497,0.84287,0.000571,0.000571,0.000571
15,107.758,0.88104,0.53081,0.75925,1.27259,0.98243,1,0.995,0.91967,0.98243,1,0.995,0.87185,0.55721,0.86982,0.44186,0.80786,0.000538,0.000538,0.000538
16,115.082,0.83569,0.52923,0.71977,1.24154,0.98333,1,0.995,0.90784,0.98333,1,0.995,0.85204,0.57381,0.87024,0.47101,0.81839,0.000505,0.000505,0.000505
17,121.905,0.83528,0.53037,0.73273,1.25334,0.98472,1,0.995,0.92353,0.98472,1,0.995,0.87335,0.5228,0.88021,0.43805,0.7995,0.000472,0.000472,0.000472
18,128.882,0.83174,0.52069,0.72359,1.24946,0.98006,1,0.995,0.91843,0.98006,1,0.995,0.85522,0.51185,0.84964,0.54983,0.79985,0.000439,0.000439,0.000439
19,136.089,0.81322,0.52662,0.68261,1.20741,0.9818,1,0.995,0.90088,0.9818,1,0.995,0.85829,0.49616,0.87241,0.61191,0.79357,0.000406,0.000406,0.000406
20,143.171,0.81799,0.51909,0.69809,1.22353,0.98371,1,0.995,0.91963,0.98371,1,0.995,0.87079,0.53898,0.84551,0.39647,0.81335,0.000373,0.000373,0.000373
21,161.336,0.6357,0.48533,0.51659,0.99214,0.98198,1,0.995,0.91554,0.98198,1,0.995,0.86491,0.55827,0.82022,0.48768,0.8133,0.00034,0.00034,0.00034
22,167.908,0.59496,0.47979,0.44961,0.95657,0.98418,1,0.995,0.92163,0.98418,1,0.995,0.87158,0.51241,0.79906,0.39711,0.79699,0.000307,0.000307,0.000307
23,174.552,0.5681,0.45881,0.41427,0.93899,0.97627,1,0.995,0.92633,0.97627,1,0.995,0.87763,0.50067,0.78744,0.48425,0.7928,0.000274,0.000274,0.000274
24,180.931,0.55692,0.45285,0.40082,0.91789,0.97906,1,0.995,0.91395,0.97906,1,0.995,0.87084,0.52555,0.75787,0.40974,0.80478,0.000241,0.000241,0.000241
25,187.353,0.5359,0.44604,0.38806,0.9095,0.97574,1,0.995,0.91485,0.97574,1,0.995,0.88751,0.59063,0.73687,0.45747,0.79831,0.000208,0.000208,0.000208
26,193.947,0.53826,0.4497,0.38476,0.90513,0.98132,1,0.995,0.92226,0.98132,1,0.995,0.87215,0.50647,0.73569,0.46455,0.79026,0.000175,0.000175,0.000175
27,200.494,0.53106,0.44296,0.37711,0.90241,0.98149,1,0.995,0.91706,0.98149,1,0.995,0.8961,0.50894,0.72428,0.4626,0.78756,0.000142,0.000142,0.000142
28,206.87,0.52034,0.42976,0.36511,0.88444,0.98121,1,0.995,0.9253,0.98121,1,0.995,0.87242,0.50244,0.72833,0.54677,0.7851,0.000109,0.000109,0.000109
29,213.553,0.51638,0.44253,0.36359,0.89154,0.98275,1,0.995,0.92887,0.98275,1,0.995,0.8783,0.49326,0.72105,0.50512,0.78496,7.6e-05,7.6e-05,7.6e-05
30,220.321,0.50258,0.44669,0.35808,0.88132,0.98272,1,0.995,0.92715,0.98272,1,0.995,0.88013,0.47861,0.7197,0.56247,0.77589,4.3e-05,4.3e-05,4.3e-05
